"Prediction","Reference","Freq"
"0.285","0.285",0
"0.315","0.285",0
"0.32","0.285",0
"0.325","0.285",0
"0.33","0.285",0
"0.335","0.285",0
"0.34","0.285",0
"0.345","0.285",0
"0.35","0.285",0
"0.355","0.285",0
"0.36","0.285",0
"0.365","0.285",0
"0.37","0.285",0
"0.375","0.285",0
"0.38","0.285",0
"0.385","0.285",0
"0.39","0.285",0
"0.395","0.285",0
"0.4","0.285",0
"0.405","0.285",0
"0.41","0.285",0
"0.415","0.285",0
"0.42","0.285",0
"0.425","0.285",0
"0.43","0.285",0
"0.435","0.285",0
"0.44","0.285",0
"0.445","0.285",0
"0.45","0.285",0
"0.455","0.285",0
"0.46","0.285",0
"0.465","0.285",0
"0.47","0.285",0
"0.475","0.285",0
"0.48","0.285",0
"0.485","0.285",0
"0.49","0.285",0
"0.495","0.285",0
"0.5","0.285",0
"0.505","0.285",0
"0.51","0.285",0
"0.515","0.285",0
"0.52","0.285",0
"0.525","0.285",0
"0.53","0.285",0
"0.535","0.285",0
"0.54","0.285",0
"0.545","0.285",0
"0.55","0.285",0
"0.555","0.285",0
"0.56","0.285",0
"0.565","0.285",0
"0.57","0.285",0
"0.575","0.285",0
"0.58","0.285",0
"0.585","0.285",0
"0.59","0.285",0
"0.595","0.285",0
"0.6","0.285",0
"0.605","0.285",0
"0.61","0.285",0
"0.615","0.285",0
"0.62","0.285",0
"0.625","0.285",0
"0.63","0.285",0
"0.635","0.285",0
"0.64","0.285",0
"0.645","0.285",0
"0.65","0.285",0
"0.655","0.285",0
"0.66","0.285",0
"0.665","0.285",0
"0.67","0.285",0
"0.675","0.285",0
"0.68","0.285",0
"0.685","0.285",0
"0.69","0.285",0
"0.695","0.285",0
"0.7","0.285",0
"0.705","0.285",0
"0.71","0.285",0
"0.715","0.285",0
"0.725","0.285",0
"0.285","0.315",0
"0.315","0.315",0
"0.32","0.315",0
"0.325","0.315",0
"0.33","0.315",0
"0.335","0.315",0
"0.34","0.315",0
"0.345","0.315",0
"0.35","0.315",0
"0.355","0.315",0
"0.36","0.315",0
"0.365","0.315",0
"0.37","0.315",0
"0.375","0.315",0
"0.38","0.315",0
"0.385","0.315",0
"0.39","0.315",0
"0.395","0.315",0
"0.4","0.315",0
"0.405","0.315",0
"0.41","0.315",0
"0.415","0.315",0
"0.42","0.315",0
"0.425","0.315",0
"0.43","0.315",0
"0.435","0.315",0
"0.44","0.315",0
"0.445","0.315",0
"0.45","0.315",0
"0.455","0.315",0
"0.46","0.315",0
"0.465","0.315",0
"0.47","0.315",0
"0.475","0.315",0
"0.48","0.315",0
"0.485","0.315",0
"0.49","0.315",0
"0.495","0.315",0
"0.5","0.315",0
"0.505","0.315",0
"0.51","0.315",0
"0.515","0.315",0
"0.52","0.315",0
"0.525","0.315",0
"0.53","0.315",0
"0.535","0.315",0
"0.54","0.315",0
"0.545","0.315",0
"0.55","0.315",0
"0.555","0.315",0
"0.56","0.315",0
